"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","Chi0n","Chi1n","Chi2n","Chi3n","Chi4n","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","CalculatedAbsorbance"
"CCN1C(=Cc2[n+](CC)c3ccccc3cc2)C=Cc2ccccc21","AGJZCWVTGOVGBS-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.994514298021482,6.266884658810142,4.873973775201973,3.6663991501645135,2,2,3,327.4510000000001,13,121.72987436717479,13.50310487187728,12,2,529
"CCN1C(=CC=Cc2[n+](CC)c3ccccc3cc2)C=Cc2ccccc21","HQCBCYUEDZNVBO-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.661180964688151,6.648330514575944,5.112179041621462,3.7991675506293316,2,2,4,353.48900000000003,14,324.7678311340925,16.757560060214647,14,4,626
"CCN1C(=CC=CC=Cc2[n+](CC)c3ccccc3cc2)C=Cc2ccccc21","HUKKJPBJMKANKC-UHFFFAOYSA-N",3,0,1,0.14814814814814814,17.123595329596654,10.327847631354818,7.033230694035695,5.334401263843684,3.9263161692179325,2,2,5,379.5270000000001,15,496.43505320452783,17.847106090375004,16,6,736
"CCN1C=CC(=CC=Cc2cc[n+](CC)c3ccccc23)c2ccccc21","TVRUNVZRBXNONE-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.653014879492888,6.674271432255006,5.1499885059275625,3.7147355567038374,2,2,4,353.48900000000015,14,589.6421858148472,15.734821304064603,12,4,701
"CCN1c2ccccc2OC1=CC=Cc1[n+](CC)c2ccccc2o1","VZUFSMBGWBLOCB-UHFFFAOYSA-N",3,0,3,0.19047619047619047,14.475990295386625,8.656310340569958,5.830350153990585,4.383276122431069,3.218954592243988,4,2,4,333.4110000000001,12,425.76223351015705,13.991775339474287,12,4,512
"CCN1c2ccccc2OC1=CC=CC=Cc1[n+](CC)c2ccccc2o1","VAGJCLDZLVQVPR-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450335,4.6054983446532916,3.346103210832589,4,2,5,359.4490000000001,13,302.0248727599114,17.841229115638235,14,6,609
"CCN1c2ccccc2OC1=CC=CC=CC=Cc1[n+](CC)c2ccccc2o1","YFMAIXBXQGUOBW-UHFFFAOYSA-N",3,0,3,0.16,16.785391372145128,9.989643673903288,6.600150512910086,4.827720566875513,3.4744032706525054,4,2,6,385.48700000000014,14,437.0009605263069,18.546758694739736,16,8,698
"CCN1c2ccccc2SC1=Cc1[n+](CC)c2ccccc2s1","WCJHMNADZOKGGL-UHFFFAOYSA-N",3,0,3,0.21052631578947367,13.321289757007373,7.9896436739032906,5.448904298224783,4.152622645784592,3.078612899562764,4,2,3,339.50900000000007,11,226.7898323343607,13.32275442931578,11,2,418
"CCN1c2ccccc2SC1=CC=Cc1[n+](CC)c2ccccc2s1","JGLWGLKNDHZFAP-UHFFFAOYSA-N",3,0,3,0.19047619047619047,14.475990295386625,8.656310340569958,5.830350153990585,4.383276122431069,3.218954592243988,4,2,4,365.5470000000001,12,215.2737154416327,14.43050776821475,13,4,521
"CCN1c2ccccc2SC1=CC=CC=Cc1[n+](CC)c2ccccc2s1","FYXWDSGGZAMYFZ-UHFFFAOYSA-N",3,0,3,0.17391304347826086,15.630690833765877,9.322977007236624,6.215250333450335,4.6054983446532916,3.346103210832589,4,2,5,391.5850000000001,13,569.042656071471,16.729474870961305,15,6,615
"CCN1c2ccccc2SC1=CC=CC=CC=Cc1[n+](CC)c2ccccc2s1","UMTQICYFVVKJFV-UHFFFAOYSA-N",3,0,3,0.16,16.785391372145128,9.989643673903288,6.600150512910086,4.827720566875513,3.4744032706525054,4,2,6,417.62300000000016,14,1280.6535945312512,18.702037087420354,17,8,700
