"SMILES","InChIKey","AromaticRingCount","HBondDonorCount","HBondAcceptorCount","FractionCarbonSP3","Chi0n","Chi1n","Chi2n","Chi3n","Chi4n","HeteroatomCount","HeterocycleCount","RotatableBondCount","MolecularMass","DegreeOfUnsaturation","MinEllipsoidLength","MaxDistance","LongestPiChain","LinkerLength","CalculatedAbsorbance"
"CCN1C=C/C(=C/c2cc[n+](CC)c3ccccc23)c2ccccc21","PBYSOAALDIVUSK-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.986348212826222,6.2928255764892045,4.909425893765218,3.5878747984230643,2,2,3,327.451,13,217.2983613035435,13.150633356847212,10,2,610
"CCN1C=C/C(=C/C=C/c2[n+](CC)c3ccccc3o2)c2ccccc21","COUGSHBDUFTYFC-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.154662610031423,6.252310793122795,4.766632314179316,3.466845074473911,3,2,4,343.45000000000005,13,671.4959958602473,16.01858349555974,12,4,560
"CCN1C=C/C(=C\c2[n+](CC)c3ccccc3cc2)c2ccccc21","CJRNTVYQEXDVCB-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.990431255423854,6.279855117649673,4.891699834483595,3.6269358828702667,2,2,3,327.451,13,263.47020180313166,13.709307176058353,11,2,572
"CCN1C=C/C(=C\C=C\c2[n+](CC)c3ccccc3cc2)c2ccccc21","ONKAXOHRKIYFDJ-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.65709792209052,6.661300973415474,5.131083773774512,3.7569515536665827,2,2,4,353.48900000000003,14,319.20057472583045,15.971398086779622,13,4,664
"CCN1C=C/C(=C\C=C\C=C\c2[n+](CC)c3ccccc3o2)c2ccccc21","QQWIIVKRRBJCBB-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681265,9.82132927669809,6.637210972582546,4.988854536401538,3.593993693062512,3,2,5,369.48800000000017,14,3395.371931317695,18.182566847869367,14,6,662
"CCN1C=C/C(=C/C=C/C=C/c2cc[n+](CC)c3ccccc23)c2ccccc21","MLENNECRNUHQQS-UHFFFAOYSA-N",3,0,1,0.14814814814814814,17.123595329596654,10.319681546159556,7.059171611714758,5.372210728149783,3.8418841752924373,2,2,5,379.52700000000016,15,589.1816286093981,15.750173870659047,14,6,794
"CCN1C=C/C(=C/C=C/C=C/C=C/c2[n+](CC)c3ccccc3s2)c2ccccc21","TWHSTEAIMSNAOL-UHFFFAOYSA-N",3,0,2,0.14814814814814814,17.531843620060517,10.487995943364757,7.022111152042297,5.21107675862376,3.7222937528824294,3,2,6,411.59400000000016,15,1700.161643970175,19.513656261727924,16,8,556
"CCN1C=C/C(=C\C=C\c2cc[n+](CC)c3ccccc23)c2ccccc21","TVRUNVZRBXNONE-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.65301487949289,6.674271432255007,5.149988505927561,3.7147355567038356,2,2,4,353.48900000000015,14,461.49278217241437,15.793308186950874,12,4,699
"CCN1C=C/C(=C\C=C\C=C\c2[n+](CC)c3ccccc3s2)c2ccccc21","LDIURJODNUMFCD-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681265,9.82132927669809,6.637210972582546,4.988854536401538,3.593993693062512,3,2,5,385.55600000000015,14,1769.0163916205363,18.491074428817527,14,6,626
"CCN1C=C/C(=C/C=C/c2[n+](CC)c3ccccc3s2)c2ccccc21","DJAQPUXEDANWNL-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.154662610031423,6.252310793122795,4.766632314179316,3.466845074473911,3,2,4,359.51800000000003,13,472.5612571130943,16.07508899243046,12,4,542
"CCN1c2ccccc2C=C/C1=C\c1cc[n+](CC)c2ccccc12","CJRNTVYQEXDVCB-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.990431255423854,6.279855117649672,4.891699834483595,3.626935882870265,2,2,3,327.451,13,168.6859858237982,14.37076956728166,11,2,566
"CCN1c2ccccc2C=C/C1=C\C=C\c1[n+](CC)c2ccccc2o1","QUZOOPRJWZTRMY-UHFFFAOYSA-N",3,0,2,0.17391304347826086,15.222442543302014,9.158745652629054,6.239340334283263,4.747727582026265,3.5090610714366575,3,2,4,343.45000000000005,13,679.9938519062216,16.256945021795037,13,4,546
"CCN1c2ccccc2C=C/C1=C/c1[n+](CC)c2ccccc2cc1","AGJZCWVTGOVGBS-UHFFFAOYSA-N",3,0,1,0.17391304347826086,14.814194252838151,8.994514298021485,6.26688465881014,4.873973775201972,3.6663991501645103,2,2,3,327.451,13,121.72020970626934,13.502993473664176,12,2,548
"CCN1c2ccccc2C=C/C1=C/C=C/c1[n+](CC)c2ccccc2cc1","HQCBCYUEDZNVBO-UHFFFAOYSA-N",3,0,1,0.16,15.968894791217403,9.661180964688151,6.6483305145759415,5.11217904162146,3.799167550629329,2,2,4,353.48900000000003,14,596.1345603246715,16.408912295995698,14,4,659
"CCN1c2ccccc2C=C/C1=C/C=C/C=C/c1[n+](CC)c2ccccc2o1","OOAUUXKHPBKQDP-UHFFFAOYSA-N",3,0,2,0.16,16.377143081681265,9.825412319295722,6.624240513743013,4.969949804248486,3.636209690025258,3,2,5,369.48800000000017,14,825.7660212094016,16.776950045070407,15,6,633
